Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close,Average Price,Volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFY,EQ,01-Jul-2015,984.35,989,1005,986,998.95,997.4,995.12,3440426,3423647679.05,80010,2461395,71.54
INFY,EQ,02-Jul-2015,997.4,999,1001.4,985.05,988.5,988,989.52,2003784,1982777630.95,78544,1336220,66.68
INFY,EQ,03-Jul-2015,988,988,993,982,990.4,990.3,989.7,1347653,1333778443.1,35728,855211,63.46
INFY,EQ,06-Jul-2015,990.3,985,988,975,981.75,983.3,981.33,2152801,2112607722.9,60404,1475832,68.55
INFY,EQ,07-Jul-2015,983.3,985,990,979,981,980.5,985,1748709,1722475960.7,58985,1256080,71.83
INFY,EQ,08-Jul-2015,980.5,979,979,954.8,957.45,957.5,962.49,3512089,3380333779,109474,2565864,73.06
INFY,EQ,09-Jul-2015,957.5,957.5,966,934.05,940.25,938,942.64,4293886,4047609151.05,138299,2935843,68.37
INFY,EQ,10-Jul-2015,938,948.1,952.1,932.65,935.5,937.5,941.18,3705761,3487806639.35,134681,2959698,79.87
INFY,EQ,13-Jul-2015,937.5,941,955,934.05,950.6,950.15,945.97,3265884,3089416554.6,84133,2399679,73.48
INFY,EQ,14-Jul-2015,950.15,955,973.5,945.5,970,971.25,961.36,2683537,2579856182.15,76138,1776741,66.21
INFY,EQ,15-Jul-2015,971.25,970,985.95,968,984.45,984,980.66,2064783,2024840506.55,74801,1311520,63.52
INFY,EQ,16-Jul-2015,984,987.7,991.5,979.5,990,989.05,987.36,1736469,1714517983.35,52615,995275,57.32
INFY,EQ,17-Jul-2015,989.05,991,1004.5,989.1,999.75,1001.85,997.46,1723989,1719615241.7,59447,1003912,58.23
INFY,EQ,20-Jul-2015,1001.85,1001.4,1010.8,987.4,997,1001.25,998.95,2188590,2186285827.3,74145,1054982,48.2
INFY,EQ,21-Jul-2015,1001.25,1035,1149,1035,1116.35,1112.65,1099.62,19155056,21063364548.1,408583,9575992,49.99
INFY,EQ,22-Jul-2015,1112.65,1105,1112,1076.65,1100,1103.15,1100.68,6332830,6970413691.3,221999,3840750,60.65
INFY,EQ,23-Jul-2015,1103.15,1103.95,1117,1090,1094.45,1098,1106.23,3855374,4264915293.05,166660,2123663,55.08
INFY,EQ,24-Jul-2015,1098,1095.55,1106.45,1083.1,1088,1087.6,1090.71,2240151,2443351940.05,100221,1424342,63.58
INFY,EQ,27-Jul-2015,1087.6,1086.9,1087.95,1060.45,1065,1065.3,1073.34,3376122,3623721352.85,175039,2443586,72.38
