Date,Open,High,Low,Close,Volume,Turnover (Rs. Cr)
02-Mar-2015,12700.6,12719.05,12586.15,12663.7,15906080,1532.08
03-Mar-2015,12687.25,12871.15,12635.5,12855.9,20847787,1971.35
04-Mar-2015,12885.75,12908.1,12630.55,12730.6,15783902,1876.48
05-Mar-2015,12719.1,12832.3,12615.45,12665.5,12712799,1515.19
09-Mar-2015,12599.8,12599.8,12372.45,12422.25,15075030,1905.66
10-Mar-2015,12404.35,12462.8,12307.1,12405.05,15020359,1745.18
11-Mar-2015,12414.7,12585.55,12298.5,12352.35,18633646,2194.95
12-Mar-2015,12377.2,12442.4,12329.25,12423.65,12590586,1640.73
13-Mar-2015,12478.55,12478.55,12248.45,12312.15,17452417,1612.33
16-Mar-2015,12308.95,12477.45,12297.2,12419.05,14394029,1738.12
17-Mar-2015,12459.6,12498.85,12300.85,12383.15,15605123,1824.59
18-Mar-2015,12434.25,12448.45,12256.55,12276.1,18361292,2939.15
19-Mar-2015,12298.25,12356.65,12253.1,12275.2,22006335,2162.42
20-Mar-2015,12306.6,12392.85,12274.35,12363.5,22332970,1817.41
23-Mar-2015,12364.3,12443.25,12217.75,12244.45,15526314,1299.41
24-Mar-2015,12266.2,12345.05,12154.45,12180,18635698,1583.87
25-Mar-2015,12214.55,12256.4,12135.5,12225.6,20385357,1618.62
26-Mar-2015,12168.3,12204.45,11865.85,11902.1,24114701,2285.52
27-Mar-2015,11978.05,12146.9,11926.95,11968.5,25148358,2022.94
30-Mar-2015,12010.65,12127.6,11971.4,12100.85,19114043,1545.41
31-Mar-2015,12159.05,12206.8,12005.2,12083,20925080,1575.6
01-Apr-2015,11997.45,12008.55,11880.15,11952.2,22785639,1808.49
06-Apr-2015,11970.2,11997.3,11872.65,11969.25,22313207,1791.39
07-Apr-2015,11999.25,12062.25,11881.5,11989.35,18185399,1551.45
08-Apr-2015,12072.2,12249.1,12060.25,12214.3,22589842,1827.59
09-Apr-2015,12296.75,12323.7,12171.15,12279.4,16386979,1614.52
10-Apr-2015,12249.05,12335.75,12244.2,12294.75,16529907,1291.29
13-Apr-2015,12329.1,12349.45,12222.9,12333.8,16440526,1038.72
15-Apr-2015,12335.15,12369.4,12121.55,12154.55,20643272,1514.6
16-Apr-2015,12187.55,12198.05,11947.05,12059,29861650,1837.11
17-Apr-2015,11972.35,11972.35,11758.75,11803.05,25776375,2308.63
20-Apr-2015,11805.5,11815.7,11538.85,11562.2,19374740,1785.84
21-Apr-2015,11472.6,11602.8,11415,11558.4,28704508,2155.16
22-Apr-2015,11552.5,11552.5,11345.1,11492,29316560,2475.39
23-Apr-2015,11571.05,11572.05,11410.4,11451.55,22676328,2146.94
24-Apr-2015,11474.4,11523,11077.3,11132.25,33250761,3685.16
27-Apr-2015,11166.4,11170.5,10941.75,11097.9,25778777,2148.64
28-Apr-2015,11097.2,11097.2,10979.2,11052.95,21748906,1830.24
29-Apr-2015,11039,11150.55,10954,11094.4,21642220,1543.63
30-Apr-2015,11056.5,11056.5,10916.65,11001.05,44619697,2474.25
04-May-2015,11087.5,11217.2,11044.25,11191.45,24105159,1583.03
05-May-2015,11252.3,11264.35,11115.5,11170.25,23245719,1664.94
06-May-2015,11186.35,11191.7,10921.75,10938.85,21427168,1794.39
07-May-2015,10934.8,11172.15,10900.9,11127.75,20232917,1444.4
08-May-2015,11209.15,11268.6,11134.2,11172.05,14833619,1240.63
11-May-2015,11225.15,11351.05,11184.65,11324.55,16210415,1373.33
12-May-2015,11337.7,11337.7,11101.25,11118.45,15553985,1322.44
13-May-2015,11168.7,11225.55,11040.55,11170.5,15567676,1259.48
14-May-2015,11185.6,11185.6,11021.85,11093.6,11405303,932.87
15-May-2015,11109.7,11208.2,11099.2,11171.9,13739827,1018.8
18-May-2015,11200.4,11294.45,11147.15,11279.45,15340671,1432.31
19-May-2015,11264.8,11425.15,11260.2,11372.2,18508134,1543.78
20-May-2015,11438.7,11583.05,11438.7,11571.7,16636054,1384.21
21-May-2015,11589,11638.1,11572.6,11618.6,14274561,1375.19
22-May-2015,11584.7,11745.75,11562.5,11728.4,15469572,1465.39
